Periodo,Categoría,Residencia viajero,DATA
2019M05,1 Llave,TOTAL,5703.77
2019M05,1 Llave,Residentes en Espańa,4342.2
2019M05,1 Llave,No residentes en Espańa,1361.57
2019M05,"2, 3 y 4 Llaves",TOTAL,707
2019M05,"2, 3 y 4 Llaves",Residentes en Espańa,458.97
2019M05,"2, 3 y 4 Llaves",No residentes en Espańa,248.04
2019M06,TOTAL,TOTAL,8077.19
2019M06,TOTAL,Residentes en Espańa,7025.26
2019M06,TOTAL,No residentes en Espańa,1051.93
2019M06,1 Llave,TOTAL,7204.44
2019M06,1 Llave,Residentes en Espańa,6418.13
2019M06,1 Llave,No residentes en Espańa,786.31
2019M06,"2, 3 y 4 Llaves",TOTAL,872.74
2019M06,"2, 3 y 4 Llaves",Residentes en Espańa,607.13
2019M06,"2, 3 y 4 Llaves",No residentes en Espańa,265.62
2019M07,TOTAL,TOTAL,10905.14
2019M07,TOTAL,Residentes en Espańa,8676.29
2019M07,TOTAL,No residentes en Espańa,2228.85
2019M07,1 Llave,TOTAL,9656.02
2019M07,1 Llave,Residentes en Espańa,7978.03
2019M07,1 Llave,No residentes en Espańa,1678
2019M07,"2, 3 y 4 Llaves",TOTAL,1249.11
2019M07,"2, 3 y 4 Llaves",Residentes en Espańa,698.26
2019M07,"2, 3 y 4 Llaves",No residentes en Espańa,550.85
2019M08,TOTAL,TOTAL,22659.57
2019M08,TOTAL,Residentes en Espańa,20908.28
2019M08,TOTAL,No residentes en Espańa,1751.29
2019M08,1 Llave,TOTAL,20378.92
2019M08,1 Llave,Residentes en Espańa,19227.43
2019M08,1 Llave,No residentes en Espańa,1151.49
2019M08,"2, 3 y 4 Llaves",TOTAL,2280.65
2019M08,"2, 3 y 4 Llaves",Residentes en Espańa,1680.85
2019M08,"2, 3 y 4 Llaves",No residentes en Espańa,599.8
2019M09,TOTAL,TOTAL,8675.55
2019M09,TOTAL,Residentes en Espańa,7127.06
2019M09,TOTAL,No residentes en Espańa,1548.49
2019M09,1 Llave,TOTAL,7465.57
2019M09,1 Llave,Residentes en Espańa,6281.37
2019M09,1 Llave,No residentes en Espańa,1184.19
2019M09,"2, 3 y 4 Llaves",TOTAL,1209.99
2019M09,"2, 3 y 4 Llaves",Residentes en Espańa,845.69
2019M09,"2, 3 y 4 Llaves",No residentes en Espańa,364.3
2019M10,TOTAL,TOTAL,10437.37
2019M10,TOTAL,Residentes en Espańa,9164.86
2019M10,TOTAL,No residentes en Espańa,1272.51
2019M10,1 Llave,TOTAL,8683.27
2019M10,1 Llave,Residentes en Espańa,7601.16
2019M10,1 Llave,No residentes en Espańa,1082.11
2019M10,"2, 3 y 4 Llaves",TOTAL,1754.1
2019M10,"2, 3 y 4 Llaves",Residentes en Espańa,1563.71
2019M10,"2, 3 y 4 Llaves",No residentes en Espańa,190.4
2019M11,TOTAL,TOTAL,7034.34
2019M11,TOTAL,Residentes en Espańa,6868.12
2019M11,TOTAL,No residentes en Espańa,166.23
2019M11,1 Llave,TOTAL,5405.84
2019M11,1 Llave,Residentes en Espańa,5252.59
2019M11,1 Llave,No residentes en Espańa,153.25
2019M11,"2, 3 y 4 Llaves",TOTAL,1628.5
2019M11,"2, 3 y 4 Llaves",Residentes en Espańa,1615.53
2019M11,"2, 3 y 4 Llaves",No residentes en Espańa,12.98
2019M12,TOTAL,TOTAL,8726.94
2019M12,TOTAL,Residentes en Espańa,8455.69
2019M12,TOTAL,No residentes en Espańa,271.25
2019M12,1 Llave,TOTAL,7654.69
2019M12,1 Llave,Residentes en Espańa,7408.49
2019M12,1 Llave,No residentes en Espańa,246.2
2019M12,"2, 3 y 4 Llaves",TOTAL,1072.25
2019M12,"2, 3 y 4 Llaves",Residentes en Espańa,1047.2
2019M12,"2, 3 y 4 Llaves",No residentes en Espańa,25.05
2020M01,TOTAL,TOTAL,4556.63
2020M01,TOTAL,Residentes en Espańa,4376.12
2020M01,TOTAL,No residentes en Espańa,180.51
2020M01,1 Llave,TOTAL,3882.98
2020M01,1 Llave,Residentes en Espańa,3760.88
2020M01,1 Llave,No residentes en Espańa,122.1
2020M01,"2, 3 y 4 Llaves",TOTAL,673.65
2020M01,"2, 3 y 4 Llaves",Residentes en Espańa,615.24
2020M01,"2, 3 y 4 Llaves",No residentes en Espańa,58.41
2020M02,TOTAL,TOTAL,6026.36
2020M02,TOTAL,Residentes en Espańa,5833.95
2020M02,TOTAL,No residentes en Espańa,192.41
2020M02,1 Llave,TOTAL,5286.28
2020M02,1 Llave,Residentes en Espańa,5183.08
2020M02,1 Llave,No residentes en Espańa,103.19
2020M02,"2, 3 y 4 Llaves",TOTAL,740.08
2020M02,"2, 3 y 4 Llaves",Residentes en Espańa,650.87
2020M02,"2, 3 y 4 Llaves",No residentes en Espańa,89.21
2020M03,TOTAL,TOTAL,1989.66
2020M03,TOTAL,Residentes en Espańa,1237.55
2020M03,TOTAL,No residentes en Espańa,752.1
2020M03,1 Llave,TOTAL,1839.24
2020M03,1 Llave,Residentes en Espańa,1087.13
2020M03,1 Llave,No residentes en Espańa,752.1
2020M03,"2, 3 y 4 Llaves",TOTAL,150.42
2020M03,"2, 3 y 4 Llaves",Residentes en Espańa,150.42
2020M03,"2, 3 y 4 Llaves",No residentes en Espańa,
2020M05,TOTAL,TOTAL,507.34
2020M05,TOTAL,Residentes en Espańa,422.54
2020M05,TOTAL,No residentes en Espańa,84.79
2020M05,1 Llave,TOTAL,507.34
2020M05,1 Llave,Residentes en Espańa,422.54
2020M05,1 Llave,No residentes en Espańa,84.79
2020M05,"2, 3 y 4 Llaves",TOTAL,
2020M05,"2, 3 y 4 Llaves",Residentes en Espańa,
2020M05,"2, 3 y 4 Llaves",No residentes en Espańa,
2020M06,TOTAL,TOTAL,1942
2020M06,TOTAL,Residentes en Espańa,1942
2020M06,TOTAL,No residentes en Espańa,
2020M06,1 Llave,TOTAL,1711.6
2020M06,1 Llave,Residentes en Espańa,1711.6
2020M06,1 Llave,No residentes en Espańa,
2020M06,"2, 3 y 4 Llaves",TOTAL,230.41
2020M06,"2, 3 y 4 Llaves",Residentes en Espańa,230.41
2020M06,"2, 3 y 4 Llaves",No residentes en Espańa,
2020M07,TOTAL,TOTAL,7081.09
2020M07,TOTAL,Residentes en Espańa,6547.28
2020M07,TOTAL,No residentes en Espańa,533.81
2020M07,1 Llave,TOTAL,4971.28
2020M07,1 Llave,Residentes en Espańa,4620.5
2020M07,1 Llave,No residentes en Espańa,350.79
2020M07,"2, 3 y 4 Llaves",TOTAL,2109.81
2020M07,"2, 3 y 4 Llaves",Residentes en Espańa,1926.79
2020M07,"2, 3 y 4 Llaves",No residentes en Espańa,183.02
2020M08,TOTAL,TOTAL,16029.35
2020M08,TOTAL,Residentes en Espańa,15448.16
2020M08,TOTAL,No residentes en Espańa,581.2
2020M08,1 Llave,TOTAL,13903.5
2020M08,1 Llave,Residentes en Espańa,13322.3
2020M08,1 Llave,No residentes en Espańa,581.2
2020M08,"2, 3 y 4 Llaves",TOTAL,2125.85
2020M08,"2, 3 y 4 Llaves",Residentes en Espańa,2125.85
2020M08,"2, 3 y 4 Llaves",No residentes en Espańa,
