Periodo,Categoría,Estancia media,DATA
2019M05,Camping de 1Ş,Estancia media Residentes en Espańa,2.29
2019M05,Camping de 1Ş,Estancia media No residentes en Espańa,1.67
2019M05,Camping de 2Ş y 3Ş,Estancia media,1.9
2019M05,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,1.93
2019M05,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,1.87
2019M06,TOTAL,Estancia media,2.24
2019M06,TOTAL,Estancia media Residentes en Espańa,2.26
2019M06,TOTAL,Estancia media No residentes en Espańa,2.16
2019M06,Camping de 1Ş,Estancia media,2.19
2019M06,Camping de 1Ş,Estancia media Residentes en Espańa,2.25
2019M06,Camping de 1Ş,Estancia media No residentes en Espańa,1.79
2019M06,Camping de 2Ş y 3Ş,Estancia media,2.34
2019M06,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,2.3
2019M06,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,2.4
2019M07,TOTAL,Estancia media,3.12
2019M07,TOTAL,Estancia media Residentes en Espańa,3.23
2019M07,TOTAL,Estancia media No residentes en Espańa,1.81
2019M07,Camping de 1Ş,Estancia media,2.97
2019M07,Camping de 1Ş,Estancia media Residentes en Espańa,3.04
2019M07,Camping de 1Ş,Estancia media No residentes en Espańa,1.48
2019M07,Camping de 2Ş y 3Ş,Estancia media,3.75
2019M07,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,4.23
2019M07,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,2.07
2019M08,TOTAL,Estancia media,3.47
2019M08,TOTAL,Estancia media Residentes en Espańa,3.82
2019M08,TOTAL,Estancia media No residentes en Espańa,1.3
2019M08,Camping de 1Ş,Estancia media,3.25
2019M08,Camping de 1Ş,Estancia media Residentes en Espańa,3.57
2019M08,Camping de 1Ş,Estancia media No residentes en Espańa,1.09
2019M08,Camping de 2Ş y 3Ş,Estancia media,5.05
2019M08,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,6
2019M08,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,2.11
2019M09,TOTAL,Estancia media,2.14
2019M09,TOTAL,Estancia media Residentes en Espańa,2.23
2019M09,TOTAL,Estancia media No residentes en Espańa,1.57
2019M09,Camping de 1Ş,Estancia media,2.09
2019M09,Camping de 1Ş,Estancia media Residentes en Espańa,2.16
2019M09,Camping de 1Ş,Estancia media No residentes en Espańa,1.29
2019M09,Camping de 2Ş y 3Ş,Estancia media,
2019M09,Camping de 2Ş y 3Ş,Estancia media Residentes en Espańa,
2019M09,Camping de 2Ş y 3Ş,Estancia media No residentes en Espańa,
2019M10,TOTAL,Estancia media,2.05
2019M10,TOTAL,Estancia media Residentes en Espańa,2.08
2019M10,TOTAL,Estancia media No residentes en Espańa,1.94
2019M10,Camping de 1Ş,Estancia media,2.05
