Periodo,Tarifa,Variable,DATA
2023M10,TOTAL,Var (%) anual,6.16
2023M10,Normal,Índice,129.82
2023M10,Normal,Var (%) anual,8.04
2023M10,Fin de semana,Índice,124.7
2023M10,Fin de semana,Var (%) anual,4.83
2023M11,TOTAL,Índice,133.65
2023M11,TOTAL,Var (%) anual,9.11
2023M11,Normal,Índice,136.68
2023M11,Normal,Var (%) anual,10.63
2023M11,Fin de semana,Índice,153.33
2023M11,Fin de semana,Var (%) anual,7.73
2023M12,TOTAL,Índice,127.65
2023M12,TOTAL,Var (%) anual,9.84
2023M12,Normal,Índice,126.44
2023M12,Normal,Var (%) anual,12.43
2023M12,Fin de semana,Índice,97.11
2023M12,Fin de semana,Var (%) anual,7.43
2024M01,TOTAL,Índice,125.05
2024M01,TOTAL,Var (%) anual,1.72
2024M01,Normal,Índice,100.67
2024M01,Normal,Var (%) anual,3.02
2024M01,Fin de semana,Índice,108.97
2024M01,Fin de semana,Var (%) anual,-0.09
2024M02,TOTAL,Índice,158.94
2024M02,TOTAL,Var (%) anual,6.03
2024M02,Normal,Índice,148.55
2024M02,Normal,Var (%) anual,8.71
2024M02,Fin de semana,Índice,126.05
2024M02,Fin de semana,Var (%) anual,3.64
2024M03,TOTAL,Índice,157.38
2024M03,TOTAL,Var (%) anual,3.06
2024M03,Normal,Índice,152.48
2024M03,Normal,Var (%) anual,4.77
2024M03,Fin de semana,Índice,116.3
2024M03,Fin de semana,Var (%) anual,1.88
