Periodo,CCAA de residencia,Medida,DATA
2016M09,Castilla - La Mancha,Pernoctaciones,166.56
2016M09,Cataluńa,Viajeros,369.56
2016M09,Cataluńa,Pernoctaciones,871.84
2016M09,Comunitat Valenciana,Viajeros,135.33
2016M09,Comunitat Valenciana,Pernoctaciones,288.88
2016M09,Extremadura,Viajeros,
2016M09,Extremadura,Pernoctaciones,
2016M09,Galicia,Viajeros,91.09
2016M09,Galicia,Pernoctaciones,169.16
2016M09,"Madrid, Comunidad de",Viajeros,520.5
2016M09,"Madrid, Comunidad de",Pernoctaciones,1085.25
2016M09,"Murcia, Región de",Viajeros,7.81
2016M09,"Murcia, Región de",Pernoctaciones,18.22
2016M09,"Navarra, Comunidad Foral de",Viajeros,65.06
2016M09,"Navarra, Comunidad Foral de",Pernoctaciones,104.1
2016M09,País Vasco,Viajeros,814.59
2016M09,País Vasco,Pernoctaciones,1431.38
2016M09,"Rioja, La",Viajeros,85.88
2016M09,"Rioja, La",Pernoctaciones,156.15
2016M09,Canarias,Viajeros,
2016M09,Canarias,Pernoctaciones,
2016M09,Ceuta,Viajeros,
2016M09,Ceuta,Pernoctaciones,
2016M09,Melilla,Viajeros,
2016M09,Melilla,Pernoctaciones,
2016M10,TOTAL,Viajeros,4316.43
2016M10,TOTAL,Pernoctaciones,8996.43
2016M10,NO RESIDENTE EN ESPAŃA,Viajeros,317.16
2016M10,NO RESIDENTE EN ESPAŃA,Pernoctaciones,644.63
2016M10,RESIDENTES EN ESPAŃA,Viajeros,3999.27
2016M10,RESIDENTES EN ESPAŃA,Pernoctaciones,8351.8
2016M10,Andalucía,Viajeros,38.68
2016M10,Andalucía,Pernoctaciones,43.83
2016M10,Aragón,Viajeros,139.24
2016M10,Aragón,Pernoctaciones,291.37
2016M10,"Asturias, Principado de",Viajeros,54.15
2016M10,"Asturias, Principado de",Pernoctaciones,116.03
2016M10,"Balears, Illes",Viajeros,30.94
2016M10,"Balears, Illes",Pernoctaciones,103.14
2016M10,Cantabria,Viajeros,79.93
2016M10,Cantabria,Pernoctaciones,123.77
2016M10,Castilla y León,Viajeros,296.53
2016M10,Castilla y León,Pernoctaciones,546.64
2016M10,Castilla - La Mancha,Viajeros,30.94
2016M10,Castilla - La Mancha,Pernoctaciones,56.73
2016M10,Cataluńa,Viajeros,340.36
2016M10,Cataluńa,Pernoctaciones,714.25
2016M10,Comunitat Valenciana,Viajeros,85.09
2016M10,Comunitat Valenciana,Pernoctaciones,201.12
2016M10,Extremadura,Viajeros,
2016M10,Extremadura,Pernoctaciones,
