Periodo,Categoría,Residencia viajero,DATA,Fecha
2017M01,4 y 5 estrellas,TOTAL,9169,2017-01-01
2017M01,4 y 5 estrellas,Residentes en Espańa,805715,2017-01-01
2017M01,4 y 5 estrellas,No residentes en Espańa,111185,2017-01-01
2017M01,3 estrellas,TOTAL,14393,2017-01-01
2017M01,3 estrellas,Residentes en Espańa,128866,2017-01-01
2017M01,3 estrellas,No residentes en Espańa,15064,2017-01-01
2017M01,1 y 2 estrellas,TOTAL,92557,2017-01-01
2017M01,1 y 2 estrellas,Residentes en Espańa,837,2017-01-01
2017M01,1 y 2 estrellas,No residentes en Espańa,8857,2017-01-01
2017M01,Hostales y pensiones,TOTAL,272519,2017-01-01
2017M01,Hostales y pensiones,Residentes en Espańa,258761,2017-01-01
2017M01,Hostales y pensiones,No residentes en Espańa,13758,2017-01-01
2017M02,TOTAL,TOTAL,3338854,2017-02-01
2017M02,TOTAL,Residentes en Espańa,3048099,2017-02-01
2017M02,TOTAL,No residentes en Espańa,290755,2017-02-01
2017M02,4 y 5 estrellas,TOTAL,9714,2017-02-01
2017M02,4 y 5 estrellas,Residentes en Espańa,890155,2017-02-01
2017M02,4 y 5 estrellas,No residentes en Espańa,81245,2017-02-01
2017M02,3 estrellas,TOTAL,17989,2017-02-01
2017M02,3 estrellas,Residentes en Espańa,1626929,2017-02-01
2017M02,3 estrellas,No residentes en Espańa,171971,2017-02-01
2017M02,1 y 2 estrellas,TOTAL,1336,2017-02-01
2017M02,1 y 2 estrellas,Residentes en Espańa,1256,2017-02-01
2017M02,1 y 2 estrellas,No residentes en Espańa,80,2017-02-01
2017M02,Hostales y pensiones,TOTAL,434954,2017-02-01
2017M02,Hostales y pensiones,Residentes en Espańa,405415,2017-02-01
2017M02,Hostales y pensiones,No residentes en Espańa,29539,2017-02-01
2017M03,TOTAL,TOTAL,4040773,2017-03-01
2017M03,TOTAL,Residentes en Espańa,3555579,2017-03-01
2017M03,TOTAL,No residentes en Espańa,485195,2017-03-01
