Periodo,Tipo de establecimiento,CCAA,DATA
2005M05,Hoteles,Espańa,331.0
2005M05,Camping,La Rioja,256.0
2005M05,Camping,Espańa,366.0
2005M05,Turismo Rural,La Rioja,227.0
2005M05,Turismo Rural,Espańa,263.0
2005M05,Apartamentos,La Rioja,174.0
2005M05,Apartamentos,Espańa,761.0
2005M06,Hoteles,La Rioja,162.0
2005M06,Hoteles,Espańa,359.0
2005M06,Camping,La Rioja,239.0
2005M06,Camping,Espańa,385.0
2005M06,Turismo Rural,La Rioja,227.0
2005M06,Turismo Rural,Espańa,266.0
2005M06,Apartamentos,La Rioja,266.0
2005M06,Apartamentos,Espańa,784.0
2005M07,Hoteles,La Rioja,17.0
2005M07,Hoteles,Espańa,398.0
2005M07,Camping,La Rioja,324.0
2005M07,Camping,Espańa,478.0
2005M07,Turismo Rural,La Rioja,288.0
2005M07,Turismo Rural,Espańa,389.0
2005M07,Apartamentos,La Rioja,391.0
2005M07,Apartamentos,Espańa,855.0
2005M08,Hoteles,La Rioja,183.0
2005M08,Hoteles,Espańa,419.0
2005M08,Camping,La Rioja,368.0
2005M08,Camping,Espańa,523.0
2005M08,Turismo Rural,La Rioja,394.0
2005M08,Turismo Rural,Espańa,512.0
2005M08,Apartamentos,La Rioja,621.0
2005M08,Apartamentos,Espańa,95.0
2005M09,Hoteles,La Rioja,164.0
2005M09,Hoteles,Espańa,38.0
2005M09,Camping,La Rioja,283.0
2005M09,Camping,Espańa,438.0
2005M09,Turismo Rural,La Rioja,223.0
2005M09,Turismo Rural,Espańa,303.0
2005M09,Apartamentos,La Rioja,201.0
2005M09,Apartamentos,Espańa,83.0
2005M10,Hoteles,La Rioja,175.0
2005M10,Hoteles,Espańa,346.0
2005M10,Camping,La Rioja,266.0
2005M10,Camping,Espańa,439.0
2005M10,Turismo Rural,La Rioja,215.0
2005M10,Turismo Rural,Espańa,272.0
2005M10,Apartamentos,La Rioja,246.0
2005M10,Apartamentos,Espańa,796.0
2005M11,Hoteles,La Rioja,172.0
2005M11,Hoteles,Espańa,292.0
2005M11,Camping,La Rioja,259.0
2005M11,Camping,Espańa,591.0
2005M11,Turismo Rural,La Rioja,206.0
2005M11,Turismo Rural,Espańa,233.0
2005M11,Apartamentos,La Rioja,212.0
2005M11,Apartamentos,Espańa,829.0
2005M12,Hoteles,La Rioja,188.0
2005M12,Hoteles,Espańa,287.0
2005M12,Camping,La Rioja,361.0
2005M12,Camping,Espańa,69.0
2005M12,Turismo Rural,La Rioja,233.0
2005M12,Turismo Rural,Espańa,272.0
