Periodo,Tipo de establecimiento,Indicador,CCAA,Residencia,DATA,Fecha
1999M05,Camping,Viajeros,Espańa,TOTAL,320569,1999-05-01
1999M05,Camping,Viajeros,Espańa,Residentes en Espańa,214407,1999-05-01
1999M05,Camping,Viajeros,Espańa,No residentes en Espańa,106162,1999-05-01
1999M05,Camping,Pernoctaciones,La Rioja,TOTAL,8179,1999-05-01
1999M05,Camping,Pernoctaciones,La Rioja,Residentes en Espańa,6833,1999-05-01
1999M05,Camping,Pernoctaciones,La Rioja,No residentes en Espańa,1346,1999-05-01
1999M05,Camping,Pernoctaciones,Espańa,TOTAL,1105055,1999-05-01
1999M05,Camping,Pernoctaciones,Espańa,Residentes en Espańa,586805,1999-05-01
1999M05,Camping,Pernoctaciones,Espańa,No residentes en Espańa,518250,1999-05-01
1999M06,TOTAL,Viajeros,La Rioja,TOTAL,41924,1999-06-01
1999M06,TOTAL,Viajeros,La Rioja,Residentes en Espańa,33098,1999-06-01
1999M06,TOTAL,Viajeros,La Rioja,No residentes en Espańa,8826,1999-06-01
1999M06,TOTAL,Viajeros,Espańa,TOTAL,6351192,1999-06-01
1999M06,TOTAL,Viajeros,Espańa,Residentes en Espańa,3176329,1999-06-01
1999M06,TOTAL,Viajeros,Espańa,No residentes en Espańa,3174863,1999-06-01
1999M06,TOTAL,Pernoctaciones,La Rioja,TOTAL,72126,1999-06-01
1999M06,TOTAL,Pernoctaciones,La Rioja,Residentes en Espańa,59625,1999-06-01
1999M06,TOTAL,Pernoctaciones,La Rioja,No residentes en Espańa,12501,1999-06-01
1999M06,TOTAL,Pernoctaciones,Espańa,TOTAL,26422577,1999-06-01
1999M06,TOTAL,Pernoctaciones,Espańa,Residentes en Espańa,8087492,1999-06-01
1999M06,TOTAL,Pernoctaciones,Espańa,No residentes en Espańa,18335085,1999-06-01
1999M06,HOTELES,Viajeros,La Rioja,TOTAL,34866,1999-06-01
1999M06,HOTELES,Viajeros,La Rioja,Residentes en Espańa,27394,1999-06-01
1999M06,HOTELES,Viajeros,La Rioja,No residentes en Espańa,7472,1999-06-01
1999M06,HOTELES,Viajeros,Espańa,TOTAL,5834331,1999-06-01
1999M06,HOTELES,Viajeros,Espańa,Residentes en Espańa,2829189,1999-06-01
1999M06,HOTELES,Viajeros,Espańa,No residentes en Espańa,3005142,1999-06-01
1999M06,HOTELES,Pernoctaciones,La Rioja,TOTAL,59659,1999-06-01
1999M06,HOTELES,Pernoctaciones,La Rioja,Residentes en Espańa,49421,1999-06-01
1999M06,HOTELES,Pernoctaciones,La Rioja,No residentes en Espańa,10238,1999-06-01
1999M06,HOTELES,Pernoctaciones,Espańa,TOTAL,24313223,1999-06-01
1999M06,HOTELES,Pernoctaciones,Espańa,Residentes en Espańa,6938607,1999-06-01
1999M06,HOTELES,Pernoctaciones,Espańa,No residentes en Espańa,17374616,1999-06-01
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,TOTAL,7058,1999-06-01
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,Residentes en Espańa,5704,1999-06-01
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,La Rioja,No residentes en Espańa,1354,1999-06-01
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,TOTAL,516861,1999-06-01
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,Residentes en Espańa,347140,1999-06-01
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Viajeros,Espańa,No residentes en Espańa,169721,1999-06-01
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,TOTAL,12467,1999-06-01
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,Residentes en Espańa,10204,1999-06-01
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,La Rioja,No residentes en Espańa,2263,1999-06-01
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,TOTAL,2109354,1999-06-01
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,Residentes en Espańa,1148885,1999-06-01
1999M06,RESTO DE ALOJAMIENTOS TURÍSTICOS,Pernoctaciones,Espańa,No residentes en Espańa,960469,1999-06-01
1999M06,Camping,Viajeros,La Rioja,TOTAL,7058,1999-06-01
1999M06,Camping,Viajeros,La Rioja,Residentes en Espańa,5704,1999-06-01
1999M06,Camping,Viajeros,La Rioja,No residentes en Espańa,1354,1999-06-01
1999M06,Camping,Viajeros,Espańa,TOTAL,516861,1999-06-01
1999M06,Camping,Viajeros,Espańa,Residentes en Espańa,347140,1999-06-01
1999M06,Camping,Viajeros,Espańa,No residentes en Espańa,169721,1999-06-01
1999M06,Camping,Pernoctaciones,La Rioja,TOTAL,12467,1999-06-01
1999M06,Camping,Pernoctaciones,La Rioja,Residentes en Espańa,10204,1999-06-01
1999M06,Camping,Pernoctaciones,La Rioja,No residentes en Espańa,2263,1999-06-01
1999M06,Camping,Pernoctaciones,Espańa,TOTAL,2109354,1999-06-01
1999M06,Camping,Pernoctaciones,Espańa,Residentes en Espańa,1148885,1999-06-01
1999M06,Camping,Pernoctaciones,Espańa,No residentes en Espańa,960469,1999-06-01
1999M07,TOTAL,Viajeros,La Rioja,TOTAL,51951,1999-07-01
