Periodo,Municipio,Indicador,Categoría,DATA
2016-03-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
2016-03-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,44.71522456461961
2016-03-01,Santo Domingo de la Calzada,Ingreso por habitación disponible (RevPAR),1 estrella de plata,44.71522456461961
2016-04-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),TOTAL,61.65
2016-04-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,81.32
2016-04-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,59.48
2016-04-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,43.32
2016-04-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,42.12
2016-04-01,LA RIOJA,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,31.83
2016-04-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),TOTAL,29.0
2016-04-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,51.16
2016-04-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,32.22
2016-04-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,10.83
2016-04-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,11.06
2016-04-01,LA RIOJA,Ingreso por habitación disponible (RevPAR),1 estrella de plata,9.7
2016-04-01,Calahorra,Facturación media por cada habitación ocupada (ADR),TOTAL,55.88
2016-04-01,Calahorra,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,44.71522456461961
2016-04-01,Calahorra,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,44.71522456461961
2016-04-01,Calahorra,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-04-01,Calahorra,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,44.71522456461961
2016-04-01,Calahorra,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,44.71522456461961
2016-04-01,Calahorra,Ingreso por habitación disponible (RevPAR),TOTAL,29.21
2016-04-01,Calahorra,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,44.71522456461961
2016-04-01,Calahorra,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,44.71522456461961
2016-04-01,Calahorra,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
2016-04-01,Calahorra,Ingreso por habitación disponible (RevPAR),2 estrellas de plata,44.71522456461961
2016-04-01,Calahorra,Ingreso por habitación disponible (RevPAR),1 estrella de plata,44.71522456461961
2016-04-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),TOTAL,82.96
2016-04-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),4 estrellas de oro,44.71522456461961
2016-04-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),3 estrellas de oro,44.71522456461961
2016-04-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),2 estrellas de oro,44.71522456461961
2016-04-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),2 estrellas de plata,44.71522456461961
2016-04-01,Ezcaray,Facturación media por cada habitación ocupada (ADR),1 estrella de plata,44.71522456461961
2016-04-01,Ezcaray,Ingreso por habitación disponible (RevPAR),TOTAL,12.76
2016-04-01,Ezcaray,Ingreso por habitación disponible (RevPAR),4 estrellas de oro,44.71522456461961
2016-04-01,Ezcaray,Ingreso por habitación disponible (RevPAR),3 estrellas de oro,44.71522456461961
2016-04-01,Ezcaray,Ingreso por habitación disponible (RevPAR),2 estrellas de oro,44.71522456461961
